,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,position,player
0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,659,0.0,0.0,307,0.0,0,0,0.0,18526.0,0.0,0.0,2017-04-04T18:45:00Z,04 Apr 19:45,0.0,0.0,0,0.0,0.0,19,0,0.0,0,0,0.0,0,31,0,0,0.0,0.0,0.0,0,2,0.0,0,0,0,0,45,True,0.0,0,,,,,,3,332
1,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,659,0.0,0.0,318,0.0,0,0,0.0,19187.0,0.0,0.0,2017-04-08T11:30:00Z,08 Apr 12:30,0.0,0.0,0,0.0,0.0,17,0,0.0,0,0,0.0,0,32,0,36,0.0,0.0,0.0,0,4,0.0,0,26,33,7,45,False,0.0,0,,,,,,3,332
2,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,659,0.0,0.0,329,0.0,0,0,0.0,19849.0,0.0,0.0,2017-04-15T14:00:00Z,15 Apr 15:00,0.0,0.0,0,0.0,0.0,16,0,0.0,0,0,0.0,0,33,0,75,0.0,0.0,0.0,0,1,0.0,0,10,22,12,45,True,0.0,0,,,,,,3,332
3,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,659,0.0,0.0,335,0.0,0,0,0.0,20584.0,0.0,0.0,2017-04-22T14:00:00Z,22 Apr 15:00,0.0,0.0,0,0.0,0.0,7,0,0.0,0,0,0.0,0,34,0,124,0.0,0.0,0.0,0,2,0.0,0,15,27,12,45,False,0.0,0,,,,,,3,332
4,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,659,0.0,0.0,349,0.0,0,0,0.0,21252.0,0.0,0.0,2017-05-01T19:00:00Z,01 May 20:00,0.0,0.0,0,0.0,0.0,9,0,0.0,0,0,0.0,0,35,0,153,0.0,0.0,0.0,1,0,0.0,0,9,16,7,45,True,0.0,0,,,,,,3,332
5,0,4.0,0.0,0.0,0,4,0,0.0,3.0,14.3,0.0,0.0,659,0.0,0.0,356,0.0,1,0,2.2,21987.0,4.0,1.0,2017-05-06T14:00:00Z,06 May 15:00,0.0,0.0,8,0.0,1.0,8,0,0.0,0,0,0.0,0,36,0,159,1.0,0.0,0.0,0,3,4.0,1,-5,17,22,45,False,0.0,0,,,,,,3,332
6,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,659,0.0,0.0,363,0.0,0,0,0.0,22983.0,0.0,0.0,2017-05-12T18:45:00Z,12 May 19:45,0.0,0.0,0,0.0,0.0,6,0,0.0,0,0,0.0,0,37,0,164,0.0,0.0,0.0,0,1,0.0,0,3,16,13,45,False,0.0,0,,,,,,3,332
7,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,659,0.0,0.0,273,0.0,0,0,0.0,22982.0,0.0,0.0,2017-05-15T19:00:00Z,15 May 20:00,0.0,0.0,0,0.0,0.0,4,0,0.0,0,0,0.0,0,37,0,164,0.0,0.0,0.0,3,4,0.0,0,3,16,13,45,False,0.0,0,,,,,,3,332
8,0,2.0,0.0,0.0,0,2,0,0.0,1.0,0.3,0.0,0.0,659,0.0,0.0,380,0.0,0,0,0.1,23664.0,0.2,0.0,2017-05-21T14:00:00Z,21 May 15:00,0.0,0.0,17,0.0,0.0,10,0,0.0,0,0,0.0,0,38,0,183,1.0,0.0,0.0,5,0,0.0,1,10,22,12,45,True,0.0,0,,,,,,3,332
9,0,,,,0,0,0,,,0.0,,,332,,,26,,0,0,0.0,,0.0,,2023-08-25T19:00:00Z,,,,0,,,7,0,,0,0,,0,3,0,15241,,,,0,3,0.0,0,-2688,200,2888,45,False,,0,0.0,0.00,0.00,0.00,0.00,3,332
