,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,position,player
0,0,0,2,0,0.0,712,378,0,0,0.1,1.2,2021-05-23T15:00:00Z,8,20,0,0,0,0,38,0,0,2,1,0.0,1,0,0,0,45,False,0,,,,,,3,507
1,0,0,0,0,0.0,706,246,0,0,0.0,0.0,2022-02-12T12:30:00Z,0,16,0,0,0,0,25,0,0,1,1,0.0,0,0,0,0,45,True,0,,,,,,3,507
2,0,0,0,0,0.0,706,174,0,0,0.0,0.0,2022-02-15T20:15:00Z,0,4,0,0,0,0,25,0,0,0,2,0.0,0,0,0,0,45,True,0,,,,,,3,507
3,0,0,0,0,0.0,706,255,0,0,0.0,0.0,2022-02-20T14:00:00Z,0,10,0,0,0,0,26,0,175,4,2,0.0,0,115,132,17,45,False,0,,,,,,3,507
4,0,0,0,0,0.0,706,268,0,0,0.0,0.0,2022-02-26T15:00:00Z,0,18,0,0,0,0,27,0,200,0,0,0.0,0,16,47,31,45,True,0,,,,,,3,507
5,0,0,0,0,0.0,706,275,0,0,0.0,0.0,2022-03-06T16:30:00Z,0,12,0,0,0,0,28,0,215,1,4,0.0,0,4,30,26,45,False,0,,,,,,3,507
6,0,0,0,0,0.0,706,288,0,0,0.0,0.0,2022-03-12T17:30:00Z,0,17,0,0,0,0,29,0,292,2,3,0.0,0,52,99,47,45,True,0,,,,,,3,507
7,0,0,0,0,0.0,706,307,0,0,0.0,0.0,2022-04-02T16:30:00Z,0,9,0,0,0,0,31,0,302,1,1,0.0,0,7,34,27,45,True,0,,,,,,3,507
8,0,0,0,0,0.0,706,314,0,0,0.0,0.0,2022-04-09T11:30:00Z,0,8,0,0,0,0,32,0,340,0,1,0.0,0,31,51,20,45,False,0,,,,,,3,507
9,0,0,0,0,0.0,706,324,0,0,0.0,0.0,2022-04-16T14:00:00Z,0,15,0,0,0,0,33,0,384,2,3,0.0,0,24,65,41,45,True,0,,,,,,3,507
10,0,0,-1,0,0.6,706,294,1,0,0.0,0.0,2022-04-19T19:00:00Z,6,11,0,0,0,0,33,0,384,0,4,0.0,0,24,65,41,45,False,1,,,,,,3,507
11,0,0,0,0,0.0,706,331,0,0,0.0,0.0,2022-04-23T11:30:00Z,0,1,0,0,0,0,34,0,729,1,3,0.0,0,310,376,66,45,False,0,,,,,,3,507
12,0,0,0,0,0.0,706,364,0,0,0.0,0.0,2022-04-28T18:45:00Z,0,6,0,0,0,0,34,0,729,1,1,0.0,0,310,376,66,45,True,0,,,,,,3,507
13,0,0,0,0,0.0,706,344,0,0,0.0,0.0,2022-05-02T19:00:00Z,0,3,0,0,0,0,35,0,684,0,3,0.0,0,-30,70,100,45,True,0,,,,,,3,507
14,0,0,0,0,0.0,706,353,0,0,0.0,0.0,2022-05-07T16:30:00Z,0,4,0,0,0,0,36,0,610,0,4,0.0,0,-81,35,116,45,False,0,,,,,,3,507
15,0,0,-1,0,0.0,706,376,1,0,0.0,0.0,2022-05-22T15:00:00Z,61,7,0,0,0,0,38,0,700,0,1,0.0,1,55,115,60,45,False,1,,,,,,3,507
16,0,0,6,0,21.3,507,18,0,0,3.3,3.6,2023-08-19T16:30:00Z,20,14,0,0,0,0,2,0,262482,0,2,8.0,1,-25897,11662,37559,50,True,0,0.0,0.00,0.44,0.44,0.35,3,507
17,0,0,2,0,3.3,507,22,0,0,1.5,3.4,2023-08-26T11:30:00Z,31,3,0,0,0,0,3,0,251525,2,0,8.0,0,-21134,18494,39628,50,False,1,0.0,0.04,0.02,0.06,0.16,3,507
18,0,0,5,0,14.8,507,34,1,0,2.4,7.6,2023-09-02T14:00:00Z,22,6,0,0,0,0,4,0,225412,5,2,2.0,1,-32174,15738,47912,49,False,0,0.0,0.00,0.03,0.03,0.62,3,507
19,1,0,13,0,15.5,507,48,0,0,4.3,18.6,2023-09-16T14:00:00Z,10,17,0,0,0,0,5,0,205817,1,2,9.0,3,-25672,8542,34214,49,True,1,0.0,0.08,0.15,0.23,0.01,3,507
20,0,0,0,0,0.0,507,51,0,0,0.0,0.0,2023-09-24T13:00:00Z,0,1,0,0,0,0,6,0,167208,2,2,0.0,0,-39776,2850,42626,49,False,0,0.0,0.00,0.00,0.00,0.00,3,507
21,0,0,0,0,0.0,507,68,0,0,0.0,0.0,2023-09-30T16:30:00Z,0,11,0,0,0,0,7,0,127921,1,2,0.0,0,-38999,148,39147,48,True,0,0.0,0.00,0.00,0.00,0.00,3,507
22,0,0,0,0,0.0,507,77,0,0,0.0,0.0,2023-10-07T11:30:00Z,0,12,0,0,0,0,8,0,111945,1,0,0.0,0,-16873,222,17095,48,False,0,0.0,0.00,0.00,0.00,0.00,3,507
23,0,0,0,0,0.0,507,90,0,0,0.0,0.0,2023-10-23T19:00:00Z,0,10,0,0,0,0,9,0,102831,0,2,0.0,0,-9633,160,9793,48,True,0,0.0,0.00,0.00,0.00,0.00,3,507
