kickoff_time_0,position_0,minutes_0,value_0,bps_0,ict_index_0,points_0,kickoff_time_1,position_1,minutes_1,value_1,bps_1,ict_index_1,points_1,kickoff_time_2,position_2,minutes_2,value_2,bps_2,ict_index_2,points_2,player
265217400,1,0,40,0,0,0,264520800.0,1,0.0,40.0,0.0,0.0,0.0,263916000.0,1,0.0,40.0,0.0,0.0,0.0,778
265217400,4,0,79,0,0,0,264970800.0,4,0.0,79.0,0.0,0.0,0.0,264610800.0,4,0.0,79.0,0.0,0.0,0.0,776
265217400,2,0,40,0,0,0,264601800.0,2,0.0,40.0,0.0,0.0,0.0,263998800.0,2,0.0,40.0,0.0,0.0,0.0,774
283960800,3,0,45,0,0,0,265217400.0,3,0.0,45.0,0.0,0.0,0.0,264529800.0,3,0.0,45.0,0.0,0.0,0.0,772
285179400,2,0,40,0,0,0,283887000.0,2,0.0,40.0,0.0,0.0,0.0,283550400.0,2,0.0,40.0,0.0,0.0,0.0,768
285170400,3,0,45,0,0,0,283878000.0,3,0.0,45.0,0.0,0.0,0.0,283550400.0,3,0.0,45.0,0.0,0.0,0.0,767
285179400,2,0,40,0,0,0,283887000.0,2,0.0,40.0,0.0,0.0,0.0,283550400.0,2,1.0,40.0,3.0,0.0,1.0,766
285170400,1,0,40,0,0,0,283878000.0,1,0.0,40.0,0.0,0.0,0.0,283550400.0,1,0.0,40.0,0.0,0.0,0.0,765
283960800,3,0,45,0,0,0,283724100.0,3,0.0,45.0,0.0,0.0,0.0,283282200.0,3,0.0,45.0,0.0,0.0,0.0,764
283878000,2,0,40,0,0,0,283635000.0,2,0.0,40.0,0.0,0.0,0.0,283118400.0,2,0.0,40.0,0.0,0.0,0.0,763
285096600,3,0,45,0,0,0,283878000.0,3,0.0,45.0,0.0,0.0,0.0,283637700.0,3,0.0,45.0,0.0,0.0,0.0,762
285170400,2,0,40,0,0,0,283878000.0,2,0.0,40.0,0.0,0.0,0.0,283637700.0,2,0.0,40.0,0.0,0.0,0.0,761
285170400,3,0,45,0,0,0,283878000.0,3,0.0,45.0,0.0,0.0,0.0,283637700.0,3,0.0,45.0,0.0,0.0,0.0,760
283878000,3,0,45,0,0,0,283532400.0,3,0.0,45.0,0.0,0.0,0.0,283204800.0,3,0.0,45.0,0.0,0.0,0.0,759
285078600,3,0,45,0,0,0,283869000.0,3,0.0,45.0,0.0,0.0,0.0,283635000.0,3,0.0,45.0,0.0,0.0,0.0,758
284068800,2,0,40,0,0,0,283541400.0,2,0.0,40.0,0.0,0.0,0.0,283282200.0,2,0.0,40.0,0.0,0.0,0.0,757
284068800,1,0,40,0,0,0,283541400.0,1,0.0,40.0,0.0,0.0,0.0,283282200.0,1,0.0,40.0,0.0,0.0,0.0,756
284153400,3,0,45,0,0,0,283721400.0,3,0.0,45.0,0.0,0.0,0.0,283118400.0,3,0.0,45.0,0.0,0.0,0.0,755
285179400,3,0,45,0,0,0,283960800.0,3,0.0,45.0,0.0,0.0,0.0,283721400.0,3,0.0,45.0,0.0,0.0,0.0,754
284153400,2,0,40,0,0,0,283721400.0,2,0.0,40.0,0.0,0.0,0.0,283118400.0,2,0.0,40.0,0.0,0.0,0.0,753
283878000,1,0,40,0,0,0,283635000.0,1,0.0,40.0,0.0,0.0,0.0,282751200.0,1,0.0,40.0,0.0,0.0,0.0,752
283878000,2,0,40,0,0,0,283635000.0,2,0.0,40.0,0.0,0.0,0.0,283352400.0,2,0.0,40.0,0.0,0.0,0.0,751
283878000,3,0,45,0,0,0,283635000.0,3,0.0,45.0,0.0,0.0,0.0,283352400.0,3,0.0,45.0,0.0,0.0,0.0,750
